2024-12-03 10:51:20.9809 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:05:36.3868 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Test run time: 154 ms

2024-12-04 09:05:36.3880 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:05:36.3886 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Divide_ShouldReturnCorrectDividend
2024-12-04 09:05:36.4026 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Passed.
2024-12-04 09:05:36.4026 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Test run time: 14 ms

2024-12-04 09:05:36.4026 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:05:36.4026 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Multiply_ShouldReturnCorrectProduct
2024-12-04 09:05:36.4065 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Passed.
2024-12-04 09:05:36.4067 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Test run time: 3 ms

2024-12-04 09:05:36.4067 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:05:36.4080 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Power_ShouldReturnCorrectResult
2024-12-04 09:05:36.4114 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_ShouldReturnCorrectResult: Passed.
2024-12-04 09:05:36.4114 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_ShouldReturnCorrectResult: Test run time: 3 ms

2024-12-04 09:05:36.4116 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:05:36.4129 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Subtract_ShouldReturnCorrectDifference
2024-12-04 09:05:36.4156 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Subtract_ShouldReturnCorrectDifference: Passed.
2024-12-04 09:05:36.4156 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Subtract_ShouldReturnCorrectDifference: Test run time: 2 ms

2024-12-04 09:12:47.5087 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:12:47.5184 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Add_ShouldReturnCorrectSum
2024-12-04 09:12:47.5641 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Passed.
2024-12-04 09:12:47.5641 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Test run time: 45 ms

2024-12-04 09:12:47.5657 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:12:47.5663 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Divide_ShouldReturnCorrectDividend
2024-12-04 09:12:47.5761 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Passed.
2024-12-04 09:12:47.5761 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Test run time: 9 ms

2024-12-04 09:12:47.5761 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:12:47.5773 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Multiply_ShouldReturnCorrectProduct
2024-12-04 09:12:47.6058 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Passed.
2024-12-04 09:12:47.6058 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Test run time: 28 ms

2024-12-04 09:12:47.6058 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:12:47.6066 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Power_ShouldReturnCorrectResult
2024-12-04 09:12:47.6354 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_ShouldReturnCorrectResult: Passed.
2024-12-04 09:12:47.6354 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_ShouldReturnCorrectResult: Test run time: 28 ms

2024-12-04 09:12:47.6354 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:12:47.6363 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Subtract_ShouldReturnCorrectDifference
2024-12-04 09:12:47.6376 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Subtract_ShouldReturnCorrectDifference: Passed.
2024-12-04 09:12:47.6376 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Subtract_ShouldReturnCorrectDifference: Test run time: 1 ms

2024-12-04 09:30:11.3111 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:30:11.3192 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Add_ShouldReturnCorrectSum
2024-12-04 09:30:11.4811 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Passed.
2024-12-04 09:30:11.4813 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Test run time: 161 ms

2024-12-04 09:30:11.4825 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:30:11.4825 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Divide_ShouldReturnCorrectDividend
2024-12-04 09:30:11.4896 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Passed.
2024-12-04 09:30:11.4896 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Test run time: 6 ms

2024-12-04 09:30:11.4896 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:30:11.4896 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Multiply_ShouldReturnCorrectProduct
2024-12-04 09:30:11.5188 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Passed.
2024-12-04 09:30:11.5188 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Test run time: 28 ms

2024-12-04 09:30:11.5188 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:30:11.5196 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Power_404BadRequest
2024-12-04 09:30:11.5232 | ERROR | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_404BadRequest: Unexpected Exception: RestAssured.Response.Exceptions.ResponseVerificationException: Expected status code to be 404, but was 400
   at RestAssured.Response.VerifiableResponse.FailVerification(String exceptionMessage)
   at RestAssured.Response.VerifiableResponse.StatusCode(Int32 expectedStatusCode)
   at MathFunctionsTestAutomation.Tests.MathControllerTests.Power_404BadRequest() in /Users/dahr4171/Data/Source/DotNetCore/MathFunctions/TestAutomation/MathFunctionsTestAutomation/MathFunctionsTestAutomation/Tests/MathControllerTests.cs:line 314
2024-12-04 09:30:11.5232 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_404BadRequest: Failed.

2024-12-04 09:30:11.5244 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:30:11.5244 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Power_ShouldReturnCorrectResult
2024-12-04 09:30:11.5260 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_ShouldReturnCorrectResult: Passed.
2024-12-04 09:30:11.5260 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_ShouldReturnCorrectResult: Test run time: 1 ms

2024-12-04 09:30:11.5260 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:30:11.5266 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Subtract_ShouldReturnCorrectDifference
2024-12-04 09:30:11.5274 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Subtract_ShouldReturnCorrectDifference: Passed.
2024-12-04 09:30:11.5274 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Subtract_ShouldReturnCorrectDifference: Test run time: 0 ms

2024-12-04 09:30:11.5289 | INFO | MathFunctionsTestAutomation.Tests.OpenForBusinessTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:30:11.5289 | INFO | MathFunctionsTestAutomation.Tests.OpenForBusinessTests | Starting Test: OpenForBusiness
2024-12-04 09:30:11.5315 | INFO | MathFunctionsTestAutomation.Tests.OpenForBusinessTests | Test OpenForBusiness: Passed
2024-12-04 09:30:11.5315 | INFO | MathFunctionsTestAutomation.Tests.OpenForBusinessTests | Test OpenForBusiness: Test run time: 2 ms

2024-12-04 09:31:42.1536 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:31:42.1619 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Add_ShouldReturnCorrectSum
2024-12-04 09:31:42.2301 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Passed.
2024-12-04 09:31:42.2301 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Test run time: 68 ms

2024-12-04 09:31:42.2315 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:31:42.2321 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Divide_ShouldReturnCorrectDividend
2024-12-04 09:31:42.2382 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Passed.
2024-12-04 09:31:42.2382 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Test run time: 6 ms

2024-12-04 09:31:42.2382 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:31:42.2390 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Multiply_ShouldReturnCorrectProduct
2024-12-04 09:31:42.2401 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Passed.
2024-12-04 09:31:42.2401 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Test run time: 1 ms

2024-12-04 09:31:42.2401 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:31:42.2409 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Power_400BadRequest
2024-12-04 09:31:42.2451 | ERROR | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_400BadRequest: Unexpected Exception: RestAssured.Response.Exceptions.ResponseVerificationException: Expected status code to be 404, but was 400
   at RestAssured.Response.VerifiableResponse.FailVerification(String exceptionMessage)
   at RestAssured.Response.VerifiableResponse.StatusCode(Int32 expectedStatusCode)
   at MathFunctionsTestAutomation.Tests.MathControllerTests.Power_400BadRequest() in /Users/dahr4171/Data/Source/DotNetCore/MathFunctions/TestAutomation/MathFunctionsTestAutomation/MathFunctionsTestAutomation/Tests/MathControllerTests.cs:line 314
2024-12-04 09:31:42.2451 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_400BadRequest: Failed.

2024-12-04 09:31:42.2463 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:31:42.2469 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Power_ShouldReturnCorrectResult
2024-12-04 09:31:42.2669 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_ShouldReturnCorrectResult: Passed.
2024-12-04 09:31:42.2669 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Power_ShouldReturnCorrectResult: Test run time: 20 ms

2024-12-04 09:31:42.2669 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:31:42.2669 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Subtract_ShouldReturnCorrectDifference
2024-12-04 09:31:42.2687 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Subtract_ShouldReturnCorrectDifference: Passed.
2024-12-04 09:31:42.2703 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Subtract_ShouldReturnCorrectDifference: Test run time: 1 ms

2024-12-04 09:31:42.2715 | INFO | MathFunctionsTestAutomation.Tests.OpenForBusinessTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:31:42.2717 | INFO | MathFunctionsTestAutomation.Tests.OpenForBusinessTests | Starting Test: OpenForBusiness
2024-12-04 09:31:42.2717 | INFO | MathFunctionsTestAutomation.Tests.OpenForBusinessTests | Test OpenForBusiness: Passed
2024-12-04 09:31:42.2717 | INFO | MathFunctionsTestAutomation.Tests.OpenForBusinessTests | Test OpenForBusiness: Test run time: 0 ms

2024-12-04 09:32:11.9999 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:32:12.0080 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Add_ShouldReturnCorrectSum
2024-12-04 09:32:12.1577 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Passed.
2024-12-04 09:32:12.1579 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Add_ShouldReturnCorrectSum: Test run time: 149 ms

2024-12-04 09:32:12.1591 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:32:12.1591 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Divide_ShouldReturnCorrectDividend
2024-12-04 09:32:12.1683 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Passed.
2024-12-04 09:32:12.1683 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Divide_ShouldReturnCorrectDividend: Test run time: 8 ms

2024-12-04 09:32:12.1683 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Testing Base URL: http://localhost:7000/api
2024-12-04 09:32:12.1691 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Starting Test: Multiply_ShouldReturnCorrectProduct
2024-12-04 09:32:12.1705 | INFO | MathFunctionsTestAutomation.Tests.MathControllerTests | Test Multiply_ShouldReturnCorrectProduct: Passed.
